run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
1,eval,vanilla_cma,sphere,10,0.0,100,200,10,ok,,200,20,3.2712233498392185,1.0,0.0,0.015923261642456055
2,eval,vanilla_cma,sphere,10,0.0,101,200,10,ok,,200,20,11.010199956007016,1.0,0.0,0.010309934616088867
3,eval,vanilla_cma,sphere,10,0.0,102,200,10,ok,,200,20,0.7198856913016605,1.0,0.0,0.010473966598510742
4,eval,vanilla_cma,sphere,10,0.0,103,200,10,ok,,200,20,3.2686679265378595,1.0,0.0,0.008200883865356445
5,eval,vanilla_cma,sphere,10,0.0,104,200,10,ok,,200,20,3.58075502515177,1.0,0.0,0.008980989456176758
6,eval,vanilla_cma,sphere,10,0.0,105,200,10,ok,,200,20,2.992030465584138,1.0,0.0,0.012246131896972656
7,eval,vanilla_cma,sphere,10,0.0,106,200,10,ok,,200,20,1.12027544576637,1.0,0.0,0.011729240417480469
8,eval,vanilla_cma,sphere,10,0.0,107,200,10,ok,,200,20,1.8198417873516466,1.0,0.0,0.009824991226196289
9,eval,vanilla_cma,sphere,10,0.0,108,200,10,ok,,200,20,2.325223066388554,1.0,0.0,0.009373903274536133
10,eval,vanilla_cma,sphere,10,0.0,109,200,10,ok,,200,20,1.4704732744311868,1.0,0.0,0.011243104934692383
11,eval,vanilla_cma,sphere,10,0.1,100,200,10,ok,,200,20,4.499981665069262,1.0,0.0,0.00869894027709961
12,eval,vanilla_cma,sphere,10,0.1,101,200,10,ok,,200,20,5.986733598250417,1.0,0.0,0.009243011474609375
13,eval,vanilla_cma,sphere,10,0.1,102,200,10,ok,,200,20,2.4414676169911163,1.0,0.0,0.009644031524658203
14,eval,vanilla_cma,sphere,10,0.1,103,200,10,ok,,200,20,3.1922277891271933,1.0,0.0,0.008343696594238281
15,eval,vanilla_cma,sphere,10,0.1,104,200,10,ok,,200,20,2.932788973796893,1.0,0.0,0.008552312850952148
16,eval,vanilla_cma,sphere,10,0.1,105,200,10,ok,,200,20,2.9661031841501058,1.0,0.0,0.011006832122802734
17,eval,vanilla_cma,sphere,10,0.1,106,200,10,ok,,200,20,0.9671988738551511,1.0,0.0,0.007902145385742188
18,eval,vanilla_cma,sphere,10,0.1,107,200,10,ok,,200,20,2.045486100998059,1.0,0.0,0.007853984832763672
19,eval,vanilla_cma,sphere,10,0.1,108,200,10,ok,,200,20,2.4457476361044583,1.0,0.0,0.007910013198852539
20,eval,vanilla_cma,sphere,10,0.1,109,200,10,ok,,200,20,1.8851579641678857,1.0,0.0,0.010885953903198242
21,eval,vanilla_cma,sphere,10,0.2,100,200,10,ok,,200,20,3.2496895573428763,1.0,0.0,0.00953984260559082
22,eval,vanilla_cma,sphere,10,0.2,101,200,10,ok,,200,20,6.215936927199091,1.0,0.0,0.007890939712524414
23,eval,vanilla_cma,sphere,10,0.2,102,200,10,ok,,200,20,1.3908302636226222,1.0,0.0,0.007795095443725586
24,eval,vanilla_cma,sphere,10,0.2,103,200,10,ok,,200,20,5.300512596354006,1.0,0.0,0.009766817092895508
25,eval,vanilla_cma,sphere,10,0.2,104,200,10,ok,,200,20,4.780279725476069,1.0,0.0,0.008616924285888672
26,eval,vanilla_cma,sphere,10,0.2,105,200,10,ok,,200,20,4.6419068933489624,1.0,0.0,0.011708974838256836
27,eval,vanilla_cma,sphere,10,0.2,106,200,10,ok,,200,20,1.0518289920846815,1.0,0.0,0.007748842239379883
28,eval,vanilla_cma,sphere,10,0.2,107,200,10,ok,,200,20,1.9121889705754755,1.0,0.0,0.0077970027923583984
29,eval,vanilla_cma,sphere,10,0.2,108,200,10,ok,,200,20,2.5879919420339212,1.0,0.0,0.010397911071777344
30,eval,vanilla_cma,sphere,10,0.2,109,200,10,ok,,200,20,3.196625325022054,1.0,0.0,0.008280754089355469
31,eval,vanilla_cma,sphere,20,0.0,100,200,10,ok,,200,20,23.759293805866765,1.0,0.0,0.015798091888427734
32,eval,vanilla_cma,sphere,20,0.0,101,200,10,ok,,200,20,26.69525376823005,1.0,0.0,0.013683080673217773
33,eval,vanilla_cma,sphere,20,0.0,102,200,10,ok,,200,20,15.542089331000742,1.0,0.0,0.013033866882324219
34,eval,vanilla_cma,sphere,20,0.0,103,200,10,ok,,200,20,29.985896523574127,1.0,0.0,0.008769989013671875
35,eval,vanilla_cma,sphere,20,0.0,104,200,10,ok,,200,20,33.753516361591096,1.0,0.0,0.009265899658203125
36,eval,vanilla_cma,sphere,20,0.0,105,200,10,ok,,200,20,22.43861874259561,1.0,0.0,0.013778924942016602
37,eval,vanilla_cma,sphere,20,0.0,106,200,10,ok,,200,20,23.49011069100033,1.0,0.0,0.00927114486694336
38,eval,vanilla_cma,sphere,20,0.0,107,200,10,ok,,200,20,35.50628360613829,1.0,0.0,0.013918876647949219
