method,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio,planned_generations,n_floor_projected,awf_projected
lr_adapt_proxy,36,-18.87208878679077,0.505,0.495,0.5833333333333334,35,2.1941088329408057e-17,geom_k090_r010,geometry,True,0.2,0.25,0.08,1.03,0.9,0.1,10.0,100.0,22.0,0.22
lr_adapt_proxy,36,-42.053864412274585,0.6116666666666666,0.38833333333333336,0.6388888888888888,30,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0,100.0,29.0,0.29
lr_adapt_proxy,36,5.806193522986625,0.2986111111111111,0.7013888888888888,0.16666666666666666,31,1.558623938038364e-17,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0,100.0,16.0,0.16
lr_adapt_proxy,36,-44.34104193813971,0.6033333333333335,0.39666666666666667,0.5833333333333334,29,1.673290387942854e-17,geom_k093_r005,geometry,True,0.2,0.25,0.08,1.03,0.93,0.05,10.0,100.0,42.0,0.42
lr_adapt_proxy,36,-23.018863708153997,0.5083333333333333,0.49166666666666664,0.5833333333333334,35,3.1615226889278363e-17,geom_k093_r010,geometry,True,0.2,0.25,0.08,1.03,0.93,0.1,10.0,100.0,32.0,0.32
lr_adapt_proxy,36,4.352102326822585,0.3002777777777778,0.6997222222222222,0.16666666666666666,27,1.7534519302931595e-17,geom_k093_r020,geometry,True,0.2,0.25,0.08,1.03,0.93,0.2,10.0,100.0,23.0,0.23
lr_adapt_proxy,36,-42.235877512450145,0.5888888888888889,0.41111111111111115,0.5833333333333334,28,1.945084039536881e-17,geom_k095_r005,geometry,True,0.2,0.25,0.08,1.03,0.95,0.05,10.0,100.0,59.0,0.59
lr_adapt_proxy,36,-3.4303347998710643,0.4747222222222222,0.5252777777777777,0.5,30,2.7927238539264237e-17,geom_k095_r010,geometry,True,0.2,0.25,0.08,1.03,0.95,0.1,10.0,100.0,45.0,0.45
lr_adapt_proxy,36,4.354994789051886,0.2905555555555555,0.7094444444444444,0.2222222222222222,28,1.7065290922872935e-17,geom_k095_r020,geometry,True,0.2,0.25,0.08,1.03,0.95,0.2,10.0,100.0,32.0,0.32
lr_adapt_proxy,36,-3.929341474596485,0.5652777777777777,0.4347222222222222,0.5277777777777778,30,3.149859734993495e-17,geom_k097_r005,geometry,True,0.2,0.25,0.08,1.03,0.97,0.05,10.0,100.0,99.0,0.99
lr_adapt_proxy,36,-2.075224874670395,0.4749999999999999,0.525,0.5,30,3.725436517842977e-17,geom_k097_r010,geometry,True,0.2,0.25,0.08,1.03,0.97,0.1,10.0,100.0,76.0,0.76
lr_adapt_proxy,36,3.0874590728630382,0.29694444444444446,0.7030555555555555,0.2777777777777778,27,1.60646227418508e-17,geom_k097_r020,geometry,True,0.2,0.25,0.08,1.03,0.97,0.2,10.0,100.0,53.0,0.53
lr_adapt_proxy,36,-7.010586499624814,0.4888888888888888,0.5111111111111111,0.5555555555555556,33,2.07619330169417e-17,thctl_005_020,threshold_control,True,0.2,0.2,0.05,1.03,0.9,0.1,10.0,100.0,22.0,0.22
lr_adapt_proxy,36,-18.141109603508557,0.5216666666666668,0.4783333333333333,0.5833333333333334,36,2.4836243452286515e-17,thctl_012_030,threshold_control,True,0.2,0.3,0.12,1.03,0.9,0.1,10.0,100.0,22.0,0.22
lr_adapt_proxy,36,-16.80425350716674,0.5302777777777777,0.4697222222222222,0.5833333333333334,33,2.5597936384309404e-17,thctl_016_035,threshold_control,True,0.2,0.35,0.16,1.03,0.9,0.1,10.0,100.0,22.0,0.22
