method,phasewall_strength,n_pairs,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,selected
phasewall_tuned,0.1,320,-0.001730370086665295,0.5125,0.4875,False
phasewall_tuned,0.2,320,0.007778080821407976,0.48125,0.51875,False
phasewall_tuned,0.4,320,-0.0022774818277858516,0.50625,0.49375,True
phasewall_tuned,0.6,320,0.00611824862376989,0.490625,0.509375,False
phasewall_tuned,0.8,320,0.0016402666210745681,0.49375,0.50625,False
phasewall_plus_lr_tuned,0.1,320,0.04084512945500539,0.45625,0.54375,True
phasewall_plus_lr_tuned,0.2,320,0.06045577541917077,0.459375,0.540625,False
phasewall_plus_lr_tuned,0.4,320,0.08482669561425622,0.43125,0.56875,False
phasewall_plus_lr_tuned,0.6,320,0.056485096451435096,0.465625,0.534375,False
phasewall_plus_lr_tuned,0.8,320,0.06941420695369113,0.44375,0.55625,False
