function,dimension,noise_sigma,method_a,method_b,n_pairs,median_delta_b_minus_a,win_rate_b_vs_a,loss_rate_b_vs_a,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,phasewall_plus_lr_tuned,100,43.622942496033204,0.48,0.52,0.506948473287772,0.8802716596954202
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,phasewall_plus_lr_tuned,100,43.65882052878564,0.48,0.52,0.4873426103065558,0.8802716596954202
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,phasewall_plus_lr_tuned,100,22.43318250196998,0.49,0.51,0.4092592100268002,0.8802716596954202
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,phasewall_plus_lr_tuned,100,3120.8921916747113,0.43,0.57,0.26972230853401546,0.8802716596954202
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,phasewall_plus_lr_tuned,100,3120.8320485896056,0.43,0.57,0.26972230853401546,0.8802716596954202
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,phasewall_plus_lr_tuned,100,3120.8713760795144,0.43,0.57,0.2579671879817931,0.8802716596954202
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,phasewall_plus_lr_tuned,100,4688.255494505895,0.48,0.52,0.6229452589763703,0.8802716596954202
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,phasewall_plus_lr_tuned,100,4688.11546345416,0.48,0.52,0.6229452589763703,0.8802716596954202
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,phasewall_plus_lr_tuned,100,4688.3552069317375,0.48,0.52,0.6229452589763703,0.8802716596954202
rastrigin,10,0.0,lr_adapt_proxy,phasewall_plus_lr_tuned,100,-0.19625974416623393,0.51,0.49,0.7103849915044168,0.8802716596954202
rastrigin,10,0.1,lr_adapt_proxy,phasewall_plus_lr_tuned,100,-1.4834530962746957,0.53,0.47,0.7335597164128502,0.8802716596954202
rastrigin,10,0.2,lr_adapt_proxy,phasewall_plus_lr_tuned,100,-0.02673505566218992,0.5,0.5,0.8098010180054853,0.8834192923696204
rastrigin,20,0.0,lr_adapt_proxy,phasewall_plus_lr_tuned,100,-3.144790223465769,0.59,0.41,0.5588737261094053,0.8802716596954202
rastrigin,20,0.1,lr_adapt_proxy,phasewall_plus_lr_tuned,100,1.5432774839182457,0.48,0.52,0.6302567676905975,0.8802716596954202
rastrigin,20,0.2,lr_adapt_proxy,phasewall_plus_lr_tuned,100,0.8773121816587235,0.49,0.51,0.956127949633218,0.956127949633218
rastrigin,40,0.0,lr_adapt_proxy,phasewall_plus_lr_tuned,100,-7.7333835530536135,0.55,0.45,0.1810567539013742,0.8802716596954202
rastrigin,40,0.1,lr_adapt_proxy,phasewall_plus_lr_tuned,100,-4.576854821854454,0.51,0.49,0.26823314456410174,0.8802716596954202
