run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
1,tune_baseline,vanilla_cma,sphere,10,0.1,0,1000,10,0.0,ok,,1000,100,-0.25227126486961077,1.0,0.0,1.0,0.03337717056274414
2,tune_baseline,vanilla_cma,sphere,10,0.1,1,1000,10,0.0,ok,,1000,100,-0.23752646858611762,1.0,0.0,1.0,0.0322117805480957
3,tune_baseline,vanilla_cma,sphere,10,0.1,2,1000,10,0.0,ok,,1000,100,-0.1916961265116106,1.0,0.0,1.0,0.03193998336791992
4,tune_baseline,vanilla_cma,sphere,10,0.1,3,1000,10,0.0,ok,,1000,100,-0.23184667826279626,1.0,0.0,1.0,0.031758785247802734
5,tune_baseline,vanilla_cma,sphere,10,0.1,4,1000,10,0.0,ok,,1000,100,-0.33216956313592866,1.0,0.0,1.0,0.03264498710632324
6,tune_baseline,vanilla_cma,sphere,10,0.1,5,1000,10,0.0,ok,,1000,100,-0.21023328188651183,1.0,0.0,1.0,0.03243112564086914
7,tune_baseline,vanilla_cma,sphere,10,0.1,6,1000,10,0.0,ok,,1000,100,-0.24782816983929373,1.0,0.0,1.0,0.03289318084716797
8,tune_baseline,vanilla_cma,sphere,10,0.1,7,1000,10,0.0,ok,,1000,100,-0.2201762508623548,1.0,0.0,1.0,0.03156590461730957
9,tune_baseline,vanilla_cma,sphere,10,0.1,8,1000,10,0.0,ok,,1000,100,-0.17958076471651815,1.0,0.0,1.0,0.0325160026550293
10,tune_baseline,vanilla_cma,sphere,10,0.1,9,1000,10,0.0,ok,,1000,100,-0.24573658149950597,1.0,0.0,1.0,0.03188490867614746
11,tune_baseline,vanilla_cma,sphere,10,0.1,10,1000,10,0.0,ok,,1000,100,-0.22834278513976225,1.0,0.0,1.0,0.03240394592285156
12,tune_baseline,vanilla_cma,sphere,10,0.1,11,1000,10,0.0,ok,,1000,100,-0.21710960780063288,1.0,0.0,1.0,0.03162717819213867
13,tune_baseline,vanilla_cma,sphere,10,0.1,12,1000,10,0.0,ok,,1000,100,-0.22018448064087304,1.0,0.0,1.0,0.031384944915771484
14,tune_baseline,vanilla_cma,sphere,10,0.1,13,1000,10,0.0,ok,,1000,100,-0.18083610844454456,1.0,0.0,1.0,0.03158903121948242
15,tune_baseline,vanilla_cma,sphere,10,0.1,14,1000,10,0.0,ok,,1000,100,-0.15305500236046943,1.0,0.0,1.0,0.03131413459777832
16,tune_baseline,vanilla_cma,sphere,10,0.1,15,1000,10,0.0,ok,,1000,100,-0.19417254088105373,1.0,0.0,1.0,0.03167915344238281
17,tune_baseline,vanilla_cma,sphere,10,0.1,16,1000,10,0.0,ok,,1000,100,-0.26969855903273576,1.0,0.0,1.0,0.030742883682250977
