function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,772.5279235925334,-183.1346473157025,0.59,0.41,0.007245785591138978,0.7125395149678387,0.007904493372151614
ellipsoid_cond1e6,10,0.0,pop4x,100,1084.1895885976264,10553.492604270908,8739.787224838787,0.02,0.98,4.266322730718234e-18,9.733991836171016,1.2287009464468514e-17
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,772.6706267944583,-296.62265260187456,0.59,0.41,0.006332857655442997,0.7127032534522347,0.00701485771064455
ellipsoid_cond1e6,10,0.1,pop4x,100,1084.1407318568422,10553.394789625876,8675.225921063477,0.02,0.98,4.266322730718234e-18,9.734340274763722,1.2287009464468514e-17
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,785.1307085972703,-165.0600309943629,0.59,0.41,0.00853049051665323,0.7239069497064812,0.009032284076456362
ellipsoid_cond1e6,10,0.2,pop4x,100,1084.574072559482,10553.377165493872,8675.573314710626,0.01,0.99,4.0161556854627e-18,9.73043467707927,1.2287009464468514e-17
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,31784.610448487227,-37674.6447805527,0.9,0.1,3.1686412518635367e-15,0.44468705930407887,6.003741319320385e-15
ellipsoid_cond1e6,20,0.0,pop4x,100,71476.35575055666,280674.74948012887,201488.40924982697,0.07,0.93,5.649430306955949e-17,3.926819527000619,1.4527106503601012e-16
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,31784.65038499892,-37674.74856099834,0.9,0.1,3.4412810293497968e-15,0.4446880774947975,6.353134208030394e-15
ellipsoid_cond1e6,20,0.1,pop4x,100,71476.28190092588,280674.7077353255,201488.29176785873,0.07,0.93,5.649430306955949e-17,3.9268230001718893,1.4527106503601012e-16
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,31034.774222856082,-37674.65207957549,0.9,0.1,3.1686412518635367e-15,0.43419567399634706,6.003741319320385e-15
ellipsoid_cond1e6,20,0.2,pop4x,100,71476.47036003675,280674.66300843505,201488.52177838102,0.07,0.93,5.649430306955949e-17,3.9268120207200834,1.4527106503601012e-16
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,294630.4515314406,-620317.3470573493,0.99,0.01,4.266322730718234e-18,0.3022840177606486,1.2287009464468514e-17
ellipsoid_cond1e6,40,0.0,pop4x,100,974680.8769914254,1931238.6445749186,972681.8910179297,0.08,0.92,6.928021197254875e-17,1.9814061095936617,1.558804769382347e-16
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,294630.38492763764,-620317.4553029037,0.99,0.01,4.266322730718234e-18,0.30228394477272524,1.2287009464468514e-17
