run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
1,eval,lr_adapt_proxy,sphere,10,0.0,1000,1000,10,0.0,ok,,1000,100,0.030562315992203843,0.9,0.0013147075439269805,1.0,0.04860377311706543
2,eval,lr_adapt_proxy,sphere,10,0.0,1001,1000,10,0.0,ok,,1000,100,0.017201335479690848,0.9,0.013842982769659659,1.0,0.04488396644592285
3,eval,lr_adapt_proxy,sphere,10,0.0,1002,1000,10,0.0,ok,,1000,100,0.023584797635141402,0.9,0.00014076892112215375,1.0,0.058007001876831055
4,eval,lr_adapt_proxy,sphere,10,0.0,1003,1000,10,0.0,ok,,1000,100,0.012538722976906495,0.9,0.00012020973775906855,1.0,0.04721713066101074
5,eval,lr_adapt_proxy,sphere,10,0.0,1004,1000,10,0.0,ok,,1000,100,0.020085878947234785,0.9,0.001857143922030452,1.0,0.047384023666381836
6,eval,lr_adapt_proxy,sphere,10,0.0,1005,1000,10,0.0,ok,,1000,100,0.018187966094044838,0.9,0.008209195298883054,1.0,0.044467926025390625
7,eval,lr_adapt_proxy,sphere,10,0.0,1006,1000,10,0.0,ok,,1000,100,0.00961826719759048,0.9,0.03386921446597287,1.0,0.0378570556640625
8,eval,lr_adapt_proxy,sphere,10,0.0,1007,1000,10,0.0,ok,,1000,100,0.017167039603136206,0.9,0.0022148973671627936,1.0,0.04711008071899414
9,eval,lr_adapt_proxy,sphere,10,0.0,1008,1000,10,0.0,ok,,1000,100,0.023700034610801685,0.9,0.0033574470261236106,1.0,0.03634905815124512
10,eval,lr_adapt_proxy,sphere,10,0.0,1009,1000,10,0.0,ok,,1000,100,0.016800723849487307,0.9,0.0010690255955550095,1.0,0.03679609298706055
11,eval,lr_adapt_proxy,sphere,10,0.0,1010,1000,10,0.0,ok,,1000,100,0.02367035399710978,0.9,0.0007564269620294006,1.0,0.04903817176818848
12,eval,lr_adapt_proxy,sphere,10,0.0,1011,1000,10,0.0,ok,,1000,100,0.013366278684827815,0.9,0.0034615473414055537,1.0,0.0632779598236084
13,eval,lr_adapt_proxy,sphere,10,0.0,1012,1000,10,0.0,ok,,1000,100,0.02225776760005852,0.9,0.015918743968929294,1.0,0.038590192794799805
14,eval,lr_adapt_proxy,sphere,10,0.0,1013,1000,10,0.0,ok,,1000,100,0.012210869710892516,0.9,0.012214332263866175,1.0,0.04918193817138672
15,eval,lr_adapt_proxy,sphere,10,0.0,1014,1000,10,0.0,ok,,1000,100,0.015746120284336803,0.9,0.07905354377877595,1.0,0.040068864822387695
16,eval,lr_adapt_proxy,sphere,10,0.0,1015,1000,10,0.0,ok,,1000,100,0.01889119768964785,0.9,0.008988380289358189,1.0,0.07107305526733398
17,eval,lr_adapt_proxy,sphere,10,0.0,1016,1000,10,0.0,ok,,1000,100,0.01996384890373644,0.9,0.0024678844543614023,1.0,0.05514693260192871
18,eval,lr_adapt_proxy,sphere,10,0.0,1017,1000,10,0.0,ok,,1000,100,0.019574748303057693,0.9,0.0027082488642342605,1.0,0.06313705444335938
19,eval,lr_adapt_proxy,sphere,10,0.0,1018,1000,10,0.0,ok,,1000,100,0.01718364397814029,0.9,0.011719141872679714,1.0,0.05075216293334961
20,eval,lr_adapt_proxy,sphere,10,0.0,1019,1000,10,0.0,ok,,1000,100,0.021588937221767603,0.9,0.0005112368045564142,1.0,0.03739619255065918
21,eval,lr_adapt_proxy,sphere,10,0.0,1020,1000,10,0.0,ok,,1000,100,0.021238721751353138,0.9,0.0010807771293060361,1.0,0.03639698028564453
22,eval,lr_adapt_proxy,sphere,10,0.0,1021,1000,10,0.0,ok,,1000,100,0.024350035561985214,0.9,0.003573458290250236,1.0,0.040782928466796875
23,eval,lr_adapt_proxy,sphere,10,0.0,1022,1000,10,0.0,ok,,1000,100,0.026115910430034882,0.9,0.03578151705975885,1.0,0.045950889587402344
24,eval,lr_adapt_proxy,sphere,10,0.0,1023,1000,10,0.0,ok,,1000,100,0.032221700593859245,0.9,0.000687229492292396,1.0,0.049971818923950195
25,eval,lr_adapt_proxy,sphere,10,0.0,1024,1000,10,0.0,ok,,1000,100,0.013649016330117012,0.9,0.012323578925622148,1.0,0.03570818901062012
26,eval,lr_adapt_proxy,sphere,10,0.0,1025,1000,10,0.0,ok,,1000,100,0.009647501856161665,0.9,0.0001630989805636451,1.0,0.0400848388671875
27,eval,lr_adapt_proxy,sphere,10,0.0,1026,1000,10,0.0,ok,,1000,100,0.027482160895869617,0.9,0.007544746864870797,1.0,0.0786738395690918
28,eval,lr_adapt_proxy,sphere,10,0.0,1027,1000,10,0.0,ok,,1000,100,0.033061473071878414,0.9,0.0007555247745902074,1.0,0.04535508155822754
29,eval,lr_adapt_proxy,sphere,10,0.0,1028,1000,10,0.0,ok,,1000,100,0.016445038352646043,0.9,0.006520840079063329,1.0,0.0573580265045166
30,eval,lr_adapt_proxy,sphere,10,0.0,1029,1000,10,0.0,ok,,1000,100,0.024381967564001638,0.9,0.013788324740245828,1.0,0.04491305351257324
31,eval,lr_adapt_proxy,sphere,10,0.0,1030,1000,10,0.0,ok,,1000,100,0.013311088200468047,0.9,0.0056504199598701585,1.0,0.036519765853881836
32,eval,lr_adapt_proxy,sphere,10,0.0,1031,1000,10,0.0,ok,,1000,100,0.024475332206946778,0.9,0.0024757708973469177,1.0,0.039288997650146484
33,eval,lr_adapt_proxy,sphere,10,0.0,1032,1000,10,0.0,ok,,1000,100,0.023775490801785988,0.9,0.0017784011289956837,1.0,0.03790116310119629
34,eval,lr_adapt_proxy,sphere,10,0.0,1033,1000,10,0.0,ok,,1000,100,0.015599845263628896,0.9,0.00022753264751172503,1.0,0.045844078063964844
35,eval,lr_adapt_proxy,sphere,10,0.0,1034,1000,10,0.0,ok,,1000,100,0.018951653870261116,0.9,0.006180588172693012,1.0,0.037139177322387695
36,eval,lr_adapt_proxy,sphere,10,0.0,1035,1000,10,0.0,ok,,1000,100,0.021691205424281948,0.9,0.004732657068554838,1.0,0.04298233985900879
37,eval,lr_adapt_proxy,sphere,10,0.0,1036,1000,10,0.0,ok,,1000,100,0.011412568838510394,0.9,0.006860173399857303,1.0,0.0448451042175293
38,eval,lr_adapt_proxy,sphere,10,0.0,1037,1000,10,0.0,ok,,1000,100,0.012143480362721563,0.9,0.004744473317535913,1.0,0.04088997840881348
39,eval,lr_adapt_proxy,sphere,10,0.0,1038,1000,10,0.0,ok,,1000,100,0.0242671645738552,0.9,0.010811690820302118,1.0,0.04833197593688965
40,eval,lr_adapt_proxy,sphere,10,0.0,1039,1000,10,0.0,ok,,1000,100,0.021077170365668637,0.9,0.025583591348900078,1.0,0.04089999198913574
41,eval,lr_adapt_proxy,sphere,10,0.0,1040,1000,10,0.0,ok,,1000,100,0.01770663164700383,0.9,0.012808034574867053,1.0,0.04368329048156738
42,eval,lr_adapt_proxy,sphere,10,0.0,1041,1000,10,0.0,ok,,1000,100,0.018701556393281537,0.9,0.01081299342916341,1.0,0.03776097297668457
43,eval,lr_adapt_proxy,sphere,10,0.0,1042,1000,10,0.0,ok,,1000,100,0.009778727582294583,0.9,0.0051242056907960945,1.0,0.04703783988952637
44,eval,lr_adapt_proxy,sphere,10,0.0,1043,1000,10,0.0,ok,,1000,100,0.01846763179327935,0.9,0.004562754826385794,1.0,0.04574298858642578
45,eval,lr_adapt_proxy,sphere,10,0.0,1044,1000,10,0.0,ok,,1000,100,0.01722611534782934,0.9,0.04359745314529442,1.0,0.04716300964355469
46,eval,lr_adapt_proxy,sphere,10,0.0,1045,1000,10,0.0,ok,,1000,100,0.01806409315801004,0.9,0.0043624056577252525,1.0,0.03629899024963379
47,eval,lr_adapt_proxy,sphere,10,0.0,1046,1000,10,0.0,ok,,1000,100,0.01415015542523612,0.9,0.003114477367854027,1.0,0.04196524620056152
48,eval,lr_adapt_proxy,sphere,10,0.0,1047,1000,10,0.0,ok,,1000,100,0.013608746803395345,0.9,0.009385742665580517,1.0,0.0439760684967041
49,eval,lr_adapt_proxy,sphere,10,0.0,1048,1000,10,0.0,ok,,1000,100,0.011774224286131008,0.9,0.009453614083157348,1.0,0.051380157470703125
50,eval,lr_adapt_proxy,sphere,10,0.0,1049,1000,10,0.0,ok,,1000,100,0.015915697272658416,0.9,0.0009393707454477192,1.0,0.04901695251464844
51,eval,lr_adapt_proxy,sphere,10,0.0,1050,1000,10,0.0,ok,,1000,100,0.015009182598952578,0.9,0.03233275730783165,1.0,0.03867816925048828
52,eval,lr_adapt_proxy,sphere,10,0.0,1051,1000,10,0.0,ok,,1000,100,0.0228409282893275,0.9,0.00042784219527886453,1.0,0.0370020866394043
